value,children,rgb
302421,Bright Red,#b40000
6469084,Reddish Orange,#ca4c0b
6330584,Nougat,#bb805a
6186012,Dark Orange,#91501c
6357797,Light Nougat,#e1bea1
4221744,Reddish Brown,#5f3109
6215606,Medium Nougat,#aa7d55
4524929,Bright Orange,#d67923
6194729,Dark Brown,#372100
6073040,Flame Yellowish Orange,#fcac00
4549436,Sand Yellow,#897d62
4159553,Brick Yellow,#ccb98d
6069887,Warm Gold,#b9953b
302424,Bright Yellow,#fac80a
6058014,Cool Yellow,#ffec6c
6058245,Olive Green,#77774e
6465247,Vibrant Yellow,#ffff00
4621557,Bright Yellowish Green,#a5ca18
6401817,Bright Green,#58ab41
302428,Dark Green,#00852b
6055169,Earth Green,#00451a
6099189,Sand Green,#708e7c
6058016,Aqua,#d3f2ea
6213778,Bright Bluish Green,#009894
6097493,Medium Azur,#68c3e2
6151664,Dark Azur,#469bc3
302426,Black,#1b2a34
302423,Bright Blue,#1e5aa8
6184484,Light Royal Blue,#9dc3f7
4179826,Medium Blue,#7396c8
6257079,Sand Blue,#70819a
4184108,Earth Blue,#19325a
6231376,Medium Lilac,#441a91
4619521,Medium Lavender,#a06eb9
6099363,Lavender,#cda4de
6096942,Bright Reddish Violet,#901f76
6217797,Bright Purple,#c8509b
6031883,Light Purple,#ff9ecd
4539114,New Dark Red,#720012
6258091,Vibrant Coral,#f06d78
302401,White,#f4f4f4
4211399,Medium Stone Grey,#969696
4210719,Dark Stone Grey,#646464
